"month","product_category","i_revenue","i_gross_profit","coupon_budget","i_net_profit_after_coupons","roas"
2019-04-01,Android,-0.2511435499059926474817337392832,-0.125571774952996323740866869641600,1.60702390840932761609104,-1.732595683362323939831906869641600,-0.078139332150503225238112279817800
2019-04-01,Apparel,-483.4603876305792759695311913368800,-241.730193815289637984765595668440000,3093.57895905350236572858600,-3335.309152868792003713351595668440000,-0.078139332150503225238112279817800
2019-04-01,Backpacks,-5.6478382616080761020155358523404,-2.823919130804038051007767926170200,36.13953502142712803940113,-38.963454152231166090408897926170200,-0.078139332150503225238112279817800
2019-04-01,Bags,-62.2612733453525164341590282261160,-31.130636672676258217079514113058000,398.39906249410878480348270,-429.529699166785043020562214113058000,-0.078139332150503225238112279817800
2019-04-01,Bottles,-3.5321268762920580712489382194524,-1.766063438146029035624469109726200,22.60146573488029751030253,-24.367529173026326545926999109726200,-0.078139332150503225238112279817800
2019-04-01,Drinkware,-145.5828152678255863748969522895676,-72.791407633912793187448476144783800,931.55912177122452058965397,-1004.350529405137313777102446144783800,-0.078139332150503225238112279817800
2019-04-01,Fun,-12.0323737502997746328364424170312,-6.016186875149887316418221208515600,76.99306750615915600309414,-83.009254381309043319512361208515600,-0.078139332150503225238112279817800
2019-04-01,Gift Cards,-3.4367511076225870939567798254104,-1.718375553811293546978389912705200,21.99117277457082839711138,-23.709548328382121944089769912705200,-0.078139332150503225238112279817800
2019-04-01,Google,-5.4116268027214091741510490358772,-2.705813401360704587075524517938600,34.62805896714179779250159,-37.333872368502502379577114517938600,-0.078139332150503225238112279817800
2019-04-01,Headgear,-61.1824653218038979989959076684544,-30.591232660901948999497953834227200,391.49595752854074467605568,-422.087190189442693675553633834227200,-0.078139332150503225238112279817800
2019-04-01,Housewares,-0.8473369110172930329289906591720,-0.423668455508646516464495329586000,5.42196156338556636314590,-5.845630018894212879610395329586000,-0.078139332150503225238112279817800
2019-04-01,Lifestyle,-57.1392343014789194589646642496248,-28.569617150739459729482332124812400,365.62402524393047928448906,-394.193642394669939013971392124812400,-0.078139332150503225238112279817800
