"CustomerID","frequency","recency","T","monetary_value","predicted_purchases_6m","predicted_avg_value","predicted_LTV_6m","Gender","Location","Tenure_Months"
12347,0.0,0.0,169.0,0.0,0.4188710451304406,1389.001198587492,581.8123837397774,M,New York,20
12348,0.0,0.0,79.0,0.0,0.6449006757498477,1389.001198587492,895.7678115864219,M,California,39
12359,0.0,0.0,17.0,0.0,1.0423610498064495,1389.001198587492,1447.8407475420747,M,New York,41
12370,1.0,30.0,106.0,691.79,0.7556175398503928,1263.4393439650887,954.6769288370946,F,New York,21
12377,0.0,0.0,66.0,0.0,0.7001665020122176,1389.001198587492,972.5321105057818,F,California,27
12383,2.0,42.0,58.0,1326.29,2.3820702755549674,1369.8607214668086,3263.104506256367,M,New York,32
12386,1.0,123.0,166.0,57.94,0.7459961406363705,1149.2883066414634,857.3646412330412,M,California,38
12388,0.0,0.0,1.0,0.0,1.2471835961273716,1389.001198587492,1732.3395098795777,M,Chicago,31
12393,1.0,14.0,23.0,483.92,1.7994912663792957,1226.003710726212,2206.182970000427,F,Chicago,39
12395,2.0,161.0,212.0,393.25,1.1226471202526782,1085.0817477757482,1218.163899379187,F,New Jersey,10
12413,1.0,22.0,40.0,22.79,1.4912566043243147,1142.9580881955765,1704.443797487546,F,New Jersey,15
12415,2.0,18.0,45.0,15.075,2.3616920469400777,969.6565908954248,2290.0302589807534,M,Chicago,29
12417,1.0,36.0,75.0,62.21,1.0792881312627216,1150.0572976162557,1241.243191589304,F,California,37
12423,0.0,0.0,59.0,0.0,0.7341789265813142,1389.001198587492,1019.7754089991236,M,New York,9
12427,1.0,163.0,220.0,897.56,0.6115194995181084,1300.4967849212808,795.2791430399707,F,New York,37
12429,0.0,0.0,149.0,0.0,0.4540231639035437,1389.001198587492,630.6387188485076,F,New Jersey,43
12431,2.0,176.0,250.0,981.635,0.9530957873864824,1264.6664134226814,1205.348231082329,F,New Jersey,14
12433,2.0,91.0,243.0,2972.35,0.6141087515801208,1872.2649886299605,1149.7743147947142,M,California,32
12434,0.0,0.0,109.0,0.0,0.546087420504399,1389.001198587492,758.5160816141619,F,Chicago,32
12437,0.0,0.0,16.0,0.0,1.053070026506383,1389.001198587492,1462.7155290139278,F,New Jersey,50
12441,1.0,1.0,165.0,155.5,0.2976216203746164,1166.8580395456092,347.2821804767125,F,Chicago,39
12471,8.0,222.0,234.0,1469.98375,4.272481083571328,1440.6123111765269,6154.9888482616825,F,California,11
12472,1.0,47.0,241.0,7814.75,0.3067998019235605,2546.224344855977,781.1811246547616,F,New Jersey,2
12474,3.0,182.0,187.0,909.1966666666668,1.969824927706991,1198.4193280268446,2360.67626619314,F,New York,17
12476,0.0,0.0,114.0,0.0,0.5325460451602559,1389.001198587492,739.7070950306241,M,Chicago,14
12480,0.0,0.0,34.0,0.0,0.8898342530793378,1389.001198587492,1235.980844071406,M,California,22
12481,3.0,113.0,151.0,3574.866666666667,2.0172266900871905,2257.242955356053,4553.370735555519,F,California,49
12483,0.0,0.0,53.0,0.0,0.7661756188598176,1389.001198587492,1064.2188529248,F,New York,39
12484,0.0,0.0,36.0,0.0,0.874889702286711,1389.001198587492,1215.2228451080955,M,California,44
12489,0.0,0.0,37.0,0.0,0.8676117654779495,1389.001198587492,1205.113782157482,M,California,2
12490,0.0,0.0,10.0,0.0,1.1225435645857058,1389.001198587492,1559.214356676221,F,New York,26
12494,3.0,99.0,150.0,101.79,1.8840049124154403,877.7114926497027,1653.6127638355288,F,California,28
12500,0.0,0.0,27.0,0.0,0.946622354921388,1389.001198587492,1314.859585595522,F,Washington DC,46
12501,1.0,1.0,38.0,9002.18,1.2912278700334612,2760.0704697265187,3563.879913767227,M,Chicago,8
12503,0.0,0.0,44.0,0.0,0.8199893717117804,1389.001198587492,1138.9662201366675,F,Chicago,36
12515,0.0,0.0,58.0,0.0,0.7393186427771292,1389.001198587492,1026.9144809555105,F,New York,28
12523,0.0,0.0,18.0,0.0,1.0318787751719125,1389.001198587492,1433.2808555107797,F,Chicago,35
12524,1.0,1.0,27.0,421.38,1.5293207672185989,1214.7407843647393,1857.7283083164052,F,Washington DC,20
