"timeline","Coupon Users","Non-Coupon Users"
0,0.5276564774381369,0.0957446808510638
1,0.4432314410480351,0.0851063829787233
2,0.4410480349344978,
3,0.4381368267831149,
4,0.4374090247452694,
5,0.4352256186317321,
6,0.4315866084425038,
7,0.4308588064046579,
8,0.4294032023289664,
9,0.4279475982532751,
10,0.4250363901018924,
11,0.4243085880640466,
12,0.4221251819505095,
13,0.4213973799126639,
14,0.4184861717612811,
15,0.4141193595342067,
16,0.4119359534206697,
17,0.4112081513828241,
18,0.4090247452692867,
19,0.4068413391557497,
20,0.4046579330422125,
21,0.4032023289665212,
22,0.4010189228529842,0.0744680851063829
23,0.398835516739447,
24,0.3981077147016012,
25,0.3966521106259097,
27,0.395924308588064,
28,0.3937409024745268,
29,0.3915574963609899,
30,0.3893740902474527,
31,0.3879184861717612,
32,0.3871906841339157,
33,0.3850072780203785,
34,0.3842794759825327,
35,0.3828238719068415,
36,0.3813682678311499,
38,0.3806404657933044,0.0638297872340425
39,0.3799126637554587,
40,0.3784570596797671,
41,0.3755458515283843,
42,0.3740902474526931,
43,0.3733624454148472,
44,0.3726346433770015,
46,0.3704512372634643,
47,0.3675400291120817,
50,0.3660844250363901,
51,0.3653566229985443,
52,0.3646288209606986,
53,0.3639010189228529,
54,0.3631732168850073,
55,0.3609898107714703,
56,0.3580786026200873,
58,0.3566229985443958,
59,0.3551673944687047,
60,0.3529839883551675,
61,0.3522561863173219,
62,0.3515283842794759,
63,0.3508005822416303,
65,0.3486171761280931,
66,0.3478893740902476,
67,0.3471615720524019,
68,0.3449781659388648,
69,0.3427947598253275,
70,0.3413391557496361,
71,0.3398835516739448,
72,0.3384279475982532,
73,0.3362445414847161,
74,0.3347889374090249,
75,0.3326055312954878,
76,0.3304221251819507,
77,0.3282387190684135,
78,0.3260553129548763,
79,0.3231441048034935,
80,0.321688500727802,
81,0.3209606986899564,
82,0.3202328966521106,
83,0.3180494905385735,
84,0.3173216885007278,
85,0.3136826783114992,
86,0.3129548762736535,
87,0.3122270742358079,
88,0.3100436681222709,
89,0.3085880640465793,
90,0.3056768558951965,
91,0.3042212518195051,
92,0.3034934497816595,
93,0.3020378457059679,
95,0.3005822416302767,
96,0.2991266375545851,
98,0.296943231441048,
99,0.2962154294032023,
100,0.2925764192139738,
101,0.2911208151382823,
103,0.2882096069868996,
104,0.2860262008733625,
105,0.2852983988355167,
106,0.282387190684134,
107,0.2809315866084426,
108,0.2787481804949053,
109,0.277292576419214,
110,0.2765647743813683,
111,0.2758369723435226,
112,0.2736535662299855,
113,0.2721979621542941,
114,0.2685589519650655,
116,,0.0531914893617021
117,0.2671033478893742,
119,0.264919941775837,
121,0.2620087336244542,
123,0.2605531295487628,
124,0.2590975254730713,
126,0.254730713245997,
128,0.2532751091703057,
129,0.2518195050946144,0.0425531914893617
130,0.2510917030567687,
131,0.249636098981077,
132,0.2481804949053858,
133,0.2474526928675401,
134,0.2467248908296943,
135,0.2452692867540029,
137,0.2416302765647743,
138,0.2409024745269287,0.0319148936170212
139,0.2387190684133917,
140,0.2372634643377002,
141,0.2328966521106259,
142,0.2292576419213974,
143,0.2256186317321689,
144,0.2241630276564774,
145,0.2212518195050946,
146,0.2205240174672488,
147,0.2176128093158662,
148,0.2168850072780204,
149,0.2139737991266375,
151,0.2125181950509461,
152,0.2096069868995634,
153,0.2081513828238719,
154,0.2074235807860263,
155,0.2066957787481805,
156,0.2059679767103348,
157,0.2045123726346433,
158,0.2016011644832606,
160,0.2008733624454148,
161,0.1986899563318777,
162,0.1979621542940321,
163,0.1957787481804949,
164,0.1950509461426492,
165,0.1943231441048035,
166,0.192867540029112,
167,0.1914119359534207,0.0212765957446808
169,0.1899563318777293,
170,0.1892285298398835,
171,0.1870451237263465,
172,0.1848617176128093,
173,0.1834061135371179,
174,0.1812227074235807,
176,0.1790393013100436,
177,0.1768558951965065,
178,0.1761280931586609,
179,0.1739446870451238,0.0106382978723404
180,0.1710334788937409,
181,0.1688500727802038,
182,0.1644832605531296,
183,0.160844250363901,
184,0.1601164483260554,
185,,0.0
186,0.1593886462882096,
187,0.1586608442503639,
188,0.1579330422125182,
189,0.1564774381368267,
190,0.1542940320232896,
191,0.1521106259097525,
193,0.1506550218340611,
194,0.1499272197962154,
195,0.148471615720524,
196,0.1455604075691411,
197,0.1441048034934498,
198,0.1433770014556041,
199,0.1419213973799127,
202,0.141193595342067,
203,0.1368267831149927,
204,0.1353711790393014,
206,0.1324599708879184,
207,0.1317321688500728,
208,0.1302765647743813,
209,0.1280931586608442,
210,0.1266375545851528,
211,0.1251819505094614,
212,0.1244541484716158,
213,0.1222707423580786,
215,0.1215429403202329,
216,0.1193595342066958,
217,0.1171761280931587,
218,0.1149927219796215,
220,0.1142649199417758,
221,0.1135371179039301,
222,0.1128093158660844,
223,0.1106259097525473,
224,0.1091703056768558,
225,0.1077147016011644,
226,0.1069868995633187,
227,0.106259097525473,
228,0.1048034934497816,
230,0.1040756914119359,
232,0.1026200873362445,
233,0.1004366812227074,
234,0.0997088791848617,
235,0.0975254730713245,
236,0.0946142649199417,
237,0.0924308588064046,
239,0.0909752547307133,
240,0.0895196506550218,
241,0.0887918486171761,
242,0.0880640465793304,
243,0.086608442503639,
245,0.0851528384279476,
247,0.0844250363901018,
248,0.0829694323144105,
249,0.0822416302765648,
250,0.0800582241630277,
251,0.0786026200873362,
254,0.0778748180494905,
256,0.0771470160116448,
257,0.0756914119359534,
258,0.0727802037845706,
259,0.0720524017467248,
260,0.0705967976710335,
261,0.0698689956331877,
262,0.0669577874818049,
263,0.0662299854439592,
264,0.0655021834061135,
265,0.0647743813682678,
266,0.0640465793304221,
267,0.0633187772925764,
271,0.061863173216885,
274,0.0596797671033479,
275,0.0574963609898107,
280,0.0553129548762736,
281,0.0538573508005822,
282,0.0531295487627365,
284,0.0509461426491994,
286,0.049490538573508,
287,0.0487627365356622,
288,0.0473071324599708,
289,0.0465793304221251,
291,0.0458515283842794,
292,0.0451237263464337,
297,0.044395924308588,
299,0.0436681222707423,
300,0.0429403202328966,
301,0.0414847161572052,
302,0.0407569141193595,
304,0.0400291120815138,
305,0.0393013100436681,
306,0.0385735080058224,
307,0.037117903930131,
